"cr2sub_id","dga_well_code","dga_well_name","dga_well_basin","dga_well_subbasin","dga_well_lat","dga_well_lon","dga_well_utm_north","dga_well_utm_east","dga_well_elev","cr2sub_lat","cr2sub_lon","cr2sub_utm_north_h19","cr2sub_utm_east_h19","cr2sub_elev","cr2sub_slp","cr2sub_mean_gwl","cr2sub_sd_gwl","cr2sub_cv_gwl","cr2sub_clean_mean_gwl","cr2sub_clean_sd_gwl","cr2sub_clean_cv_gwl","cr2sub_in_basin_camels","cr2sub_camels_pr_yr","cr2sub_camels_pet_yr","cr2sub_camels_aridity","cr2sub_camels_sf","cr2sub_camels_elev","cr2sub_camels_slp","cr2sub_in_basin_bna","cr2sub_bna_pr_yr","cr2sub_bna_pet_yr","cr2sub_bna_aridity","cr2sub_bna_sf","cr2sub_bna_elev","cr2sub_bna_slp","cr2sub_clsoilmap_awc_0_100cm","cr2sub_clsoilmap_awc_100_200cm","cr2sub_clsoilmap_bulkd_0_100cm","cr2sub_clsoilmap_bulkd_100_200cm","cr2sub_clsoilmap_clay_0_100cm","cr2sub_clsoilmap_clay_100_200cm","cr2sub_clsoilmap_ksat_0_100cm","cr2sub_clsoilmap_ksat_100_200cm","cr2sub_clsoilmap_sand_0_100cm","cr2sub_clsoilmap_sand_100_200cm"
3940004,"03940004-9","DOMEYKO (C - 7 )","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",-28.977222,-70.928889,6793017,312068,704,-28.977222,-70.928889,6793017,312068,702.32,1.01,-57.48,9.37,-0.16,-56.83,7.53,-0.13,NA,NA,NA,NA,NA,NA,NA,"39",75.88,1824.77,24.05,0.08,875.26,13.61,125.052,104.201,1.448,1.646,10.679,8.626,47.368,22.552,62.786,63.317
3815005,"03815005-7","EL ROSARIO","RIO HUASCO","Rio del Carmen",-28.795556,-70.462222,6813777,357280,830,-28.795556,-70.462222,6813777,357280,853.01,6.43,-5.51,2.69,-0.49,-5.3,2.22,-0.42,"3815001",186.8,1839.23,9.85,0.62,3467.06,25.64,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,131.27,136.104,1.548,1.504,19.266,20.818,11.915,14.424,48.347,48.434
3701007,"03701007-3","ESTACION ALGARROBAL","Q.CARRIZAL Y COSTERAS HASTA R.HUASCO","Quebradas Carrizal y Carrizalillo",-28.132778,-70.639722,6887012,338965,440,-28.132778,-70.639722,6887012,338965,436.98,0.61,-19.22,2.67,-0.14,-19.28,2.35,-0.12,NA,NA,NA,NA,NA,NA,NA,"36",77.04,2236.57,29.03,0.22,1352.04,13.87,120.749,115.537,1.533,1.576,13.139,8.395,29.461,31.393,60.723,61.382
3450011,"03450011-8","FUNDO STA LUISA 2 (VEGAS LO AGUIRRE)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.302778,-70.300556,6979316,371300,267,-27.302778,-70.300556,6979316,371300,647.02,2.72,-2.49,1.41,-0.57,NA,NA,NA,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,103.219,90.423,1.61,1.757,10.515,7.734,30.845,18.023,67.692,68.347
3450012,"03450012-6","HACIENDA BODEGA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.325,-70.380556,6976769,363410,330,-27.325,-70.380556,6976769,363410,330.58,0.58,-23.15,3.31,-0.14,-23.14,2.95,-0.13,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,151.929,171.678,1.489,1.352,20.329,19.184,12.896,22.169,35.855,37.283
3825005,"03825005-1","FREIRINA","RIO HUASCO","Rio Huasco",-28.508056,-71.071111,6844777,297305,84,-28.508056,-71.071111,6844777,297305,89.66,0.59,-1.19,0.37,-0.31,-1.18,0.35,-0.3,"3826001",160.84,1959.26,12.18,0.52,2742.38,22.3,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,111.717,109.801,1.615,1.65,11.473,13.351,20.025,15.195,60.707,60.717
3451013,"03451013-K","FUNDO EL CARMEN","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.318333,-70.491667,6977381,352407,248,-27.318333,-70.491667,6977381,352407,250.75,0.39,-4.57,0.47,-0.1,-4.56,0.45,-0.1,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,152.798,150.625,1.358,1.364,23.127,24.892,25.415,26.233,50.174,51.346
3404003,"03404003-6","FUNDO RODEO","RIO COPIAPO","Rio Jorquera",-28.039444,-69.941944,6898076,407427,1254,-28.039444,-69.941944,6898076,407427,1245.77,1.25,-59.24,11.57,-0.2,-58.95,11.07,-0.19,"3404001",144.18,1921.33,13.33,0.61,3796.11,19.47,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,128.502,143.425,1.603,1.545,26.454,17.839,5.6,10.657,37.285,37.563
3430015,"03430015-1","FUNDO SAN ANTONIO","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.875278,-70.051111,6916126,396525,1003,-27.875278,-70.051111,6916126,396525,1039.84,18.22,-11.51,0.21,-0.02,NA,NA,NA,"3430002",159.93,1982.16,12.39,0.6,3574.8,21.03,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,144.6,153.149,1.432,1.421,32.024,24.491,14.345,15.226,43.577,40.743
3421006,"03421006-3","HACIENDA MANFLAS","RIO COPIAPO","Rio Manflas",-28.140278,-69.984444,6886875,403325,1418,-28.140278,-69.984444,6886875,403325,1440.32,17.61,-21.29,3.64,-0.17,-21.38,3.47,-0.16,"3430003",162.81,1929.43,11.85,0.61,3651.29,21.01,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,128.4,149.901,1.575,1.396,20.316,24.444,11.102,18.897,47.296,47.146
