well_id,gw_memory,max_r2_selected_configs
1310032,54.02805611222445,0.4908257720091623
1310048,67.01402805611222,0.5231364704073984
2110017,52.104208416833664,0.7011567537245394
2942002,70.22044088176352,0.4441112795292909
2942003,48.897795591182366,0.5892197979954625
2942006,59.639278557114224,0.4569152222117794
3414004,49.21843687374749,0.4296273705285073
3414005,63.326653306613224,0.4457537496635156
3430012,31.743486973947896,0.4733574649363426
3430013,48.897795591182366,0.4977794398754939
3431006,46.97394789579158,0.4849759629363833
3431007,47.454909819639276,0.6677341767604738
3431008,63.0060120240481,0.5349379042568017
3431011,48.416833667334664,0.4065094285920804
3431012,72.30460921843687,0.6832552160381969
3434005,51.4629258517034,0.5964391899309333
3434006,48.7374749498998,0.6593820029702261
3434007,44.569138276553105,0.5317668584089132
3434008,55.6312625250501,0.7072485828966917
3434009,51.142284569138276,0.7547260072426787
3450006,45.69138276553106,0.5359899643121445
3450007,49.53907815631263,0.6615530496754396
3450008,47.13426853707415,0.6916640276678615
3450012,30.941883767535067,0.4267887147173224
3450013,61.883767535070135,0.7228639960153558
3450014,68.77755511022043,0.7266376961719062
3450017,52.4248496993988,0.5820612187609062
3451003,67.01402805611222,0.706693043019851
3451005,69.73947895791584,0.7878227472573603
3451007,64.44889779559118,0.4020815368505901
3451011,75.03006012024048,0.598125876105435
3451013,53.547094188376754,0.5819863804953889
3451014,76.47294589178357,0.5518220916521399
3451015,74.70941883767534,0.6039950335094549
3453005,75.19038076152304,0.4067425402302735
3805002,72.46492985971943,0.4311649592008322
3940003,50.66132264529058,0.4677522276169607
3940004,48.897795591182366,0.4253476859826732
3940005,68.61723446893787,0.5440588348185407
3940007,71.82364729458918,0.5499711917578783
4100001,28.537074148296593,0.4035058642778745
4120003,76.15230460921843,0.4766828497133137
4120005,76.7935871743487,0.5886085789529784
4120013,71.18236472945891,0.435763740007829
4120017,75.35070140280561,0.4264038169118356
4200001,68.45691382765531,0.4258122203258622
4200003,74.38877755511022,0.4245649209209429
4307001,16.673346693386772,0.5258226470468893
4308004,42.64529058116232,0.5558124221896151
4308006,47.29458917835671,0.5592090745550452
4314007,64.92985971943888,0.4228020888836267
4320004,22.765531062124246,0.6587262916287333
4320005,27.414829659318634,0.6491468884427114
4320006,18.917835671342683,0.6251926247246378
4320007,30.62124248496994,0.6316769975765468
4320008,32.06412825651302,0.4684503452340196
4320009,38.95791583166333,0.4244161040008088
4320013,45.85170340681363,0.5270112003445612
4320016,52.26452905811623,0.4105024717249058
4321002,50.02004008016032,0.5260844577589343
4321003,52.4248496993988,0.4484202765257495
4321005,46.49298597194389,0.493577428281604
