"Index","010","011","012","013","014","015","016","017","018","020","021","022","023","024","025","026","027","028","029","030","031","032","033","034","035","036","037","038","039","040","041","042","043","044","045","046","047","048","049","050","051","052","053","054","055","056","057","058","060","061","070","071","072","073","074","080","081","082","083","084","085","086","087","088","089","090","091","092","093","094","095","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129"
"1960-01-01",121.6858,27.8862,92.9608,48.2082,19.6331,43.5869,30.0688,26.9802,1.2558,102.0051,18.4666,4.9456,100.4204,92.2347,26.6721,4.7938,1.1543,1.3023,1.1369,6.4708,0.297,0.0503,0.8766,0.267,0,0.7596,0.0062,2.3169,0.8869,1.3843,0.4427,0.0176,4.7395,0.0029,1.2577,2e-04,2.5248,0.0012,0,0,1.2256,1.7727,0,2.4466,0.0296,NA,1.4966,2e-04,0.9136,2.7763,6.4036,1.978,8.253,8.2961,10.003,13.3509,17.8435,16.1502,34.3493,22.82,30.9031,20.2954,27.2712,23.1759,25.3157,23.55,39.803,18.713,22.6675,72.9785,45.2229,53.94,75.6116,113.2403,88.7466,112.7469,132.0743,176.4326,132.056,205.2992,101.0404,125.1276,163.1278,170.6612,76.7154,228.9891,81.395,184.7232,156.4929,273.854,69.6183,295.4491,264.743,181.3772,221.4052,143.1197,62.1709,84.6123,136.4012,83.9456,75.8292
"1960-02-01",33.3981,19.0781,48.4424,25.4709,7.3188,11.424,7.4994,4.3813,0.0093,23.623,3.6546,0.3025,19.5103,14.0896,6.3948,0.4134,0.227,0.1027,0.2608,7.8148,1.2787,1.0443,0,2.1731,0,0.5945,0,5.6054,0.0741,0,1.4064,0,5.3967,0,1.0176,0,0.1192,0,0,0,0.0076,0.0057,0,1.6206,0,NA,1.1229,0,0.0504,0,0,0.0804,0,0.2073,0,0,0.5456,0,3.2321,0,0.2733,1.0554,2.6303,2.4694,2.4852,3.805,5.4945,2.7848,3.0375,12.872,7.3982,12.956,18.7017,34.8097,31.459,42.4369,37.3072,97.5987,122.1439,198.3434,99.976,125.1959,163.1305,158.8053,71.0644,214.8018,77.7141,174.8453,159.5814,270.71,71.0308,265.0395,232.6321,165.8137,231.3172,158.5639,53.6722,69.991,157.1344,92.2416,88.0642
"1960-03-01",3.7499,0.7696,4.9233,1.5871,0.1095,0.1652,0.0384,0.0699,0,0,0,0,0.0044,1e-04,1e-04,0,0,0,0,0.9114,0,0,0,0.4673,0,0.1761,0,2.1639,0,0,0.3895,0,2.0139,0,0.1867,0,0.0894,0,0,0,0.0551,0.0355,0,0.0927,0,NA,0.0064,1.5181,1.3182,5.1517,8.1364,11.819,16.7863,27.7603,26.1237,30.6983,47.1514,30.5248,83.1437,37.355,52.1406,26.8458,36.8809,30.6479,36.3523,43.345,61.414,34.7874,36.275,86.0597,59.1764,65.2357,81.4768,94.1127,81.7297,77.7923,118.4599,135.0537,120.6357,184.9685,93.9777,130.0972,161.8267,141.2942,83.5832,177.1182,77.1231,150.7222,144.4377,218.6688,78.2442,213.1334,198.3092,137.2866,183.6117,119.0463,37.9332,59.6551,134.8908,66.0386,58.4077
"1960-04-01",1.7885,0,0.5831,0.0014,0,0.0521,0.2137,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0,0,0,0.002,0,0,0,0,0,0,0,0,0.037,0,0.3171,0,0.0023,0,0,0,0,0,0,2.1316,0,NA,8.7283,0.2698,15.5721,10.2827,17.5692,35.794,23.5296,43.3264,27.8199,29.6735,51.5056,32.9508,71.4271,37.3494,51.8886,39.23,50.3515,48.1207,49.72,55.6125,66.7372,44.7765,47.765,105.1845,71.2175,74.0423,101.4503,138.5767,112.6466,119.545,165.5577,222.2355,174.8049,275.2828,97.5321,174.4283,220.6757,171.1688,103.4421,291.598,139.1969,249.0042,229.5438,280.0942,108.3217,396.0015,263.6597,296.3864,246.1769,197.6844,68.3318,116.3364,190.3228,110.9877,135.3984
"1960-05-01",0,1.2446,0.1382,0.1704,0.0141,0.0074,0,0,0.0065,0,0.0014,0.13,0.3835,0.5104,0.1151,0.096,0,0.028,0.0543,0.3425,0.0217,0.0628,0.0943,0.4403,0.006,0.1533,0.0355,0.5758,0.1127,0,0.1145,0.3182,0.4044,2e-04,0.2846,0,0.4334,0,0,0,0.232,0.8781,0,3.0974,0.6617,NA,11.6538,7.7447,26.8061,12.3303,15.5344,55.2622,24.217,71.2705,42.1777,53.737,91.0016,75.9835,133.6087,112.5312,154.4159,139.4408,158.9633,138.3747,139.6559,146.9425,152.0404,138.5387,151.8025,222.0416,208.2939,231.118,246.4735,337.6673,229.0349,231.6371,258.597,334.509,288.0318,412.2929,199.5417,277.6665,288.6099,229.8005,161.5914,273.5475,145.9223,181.8639,151.6174,244.762,73.2792,233.7244,230.4996,118.4502,172.7942,102.5263,42.2263,57.4803,130.3011,73.2172,76.177
"1960-06-01",3.2147,17.5308,3.7517,3.7458,1.4109,0.6999,1.1944,2.2872,4.9133,7.4269,2.9243,3.6396,9.5077,13.1203,3.5555,7.4724,0.4481,1.4413,2.6138,56.1918,10.3598,16.7607,11.8379,67.2112,22.4851,63.0505,57.4854,126.8467,74.3958,62.1657,99.1076,95.3724,135.8552,105.535,151.7879,95.3637,137.4616,119.5396,131.9319,123.689,137.5419,138.2795,168.6374,199.2907,205.4929,NA,283.1259,220.3702,365.4188,240.7349,254.3116,442.1859,314.5963,438.6397,331.7052,316.3056,418.5744,329.3027,465.8291,391.0269,505.3467,336.1354,402.5748,332.3011,318.4329,309.97,353.2911,248.4404,253.4225,437.5041,318.0211,312.8413,355.0473,379.5051,262.4444,234.3332,277.5912,283.7995,225.0523,270.4772,164.9443,183.318,176.3583,147.1112,76.9498,134.2417,62.3298,89.0343,67.8672,122.8035,21.2525,145.9085,116.3594,89.1106,109.2948,56.488,19.8109,31.0503,92.9247,44.8298,81.2595
"1960-07-01",5.8987,1.3254,5.58,1.5879,0.5886,1.6087,1.4218,1.4738,0.3188,2.0131,0.9902,0.323,2.2455,3.9032,0.9154,0.0969,0.0855,0.0953,1.0808,1.2027,1.1828,2.1667,1.085,11.8437,0.5951,8.0123,4.7197,20.7625,13.4195,8.1714,21.2334,17.8212,34.3997,18.9183,54.832,21.3544,54.1445,37.7206,44.3726,34.712,58.4509,58.7465,38.6394,64.6807,50.2324,NA,72.0952,60.7577,93.0757,79.7553,94.7968,117.6041,118.1922,147.8821,137.6743,147.3539,199.7381,155.1989,277.1875,218.8769,333.1233,265.8696,316.5545,290.0403,323.9932,323.0775,312.0429,273.9652,295.8125,451.1123,388.4929,408.3083,467.2475,546.0967,403.5527,380.7031,510.8681,506.9103,454.531,496.6867,315.1594,408.7094,366.1074,314.7053,227.1637,333.3646,197.7477,261.8645,252.4107,344.9964,126.5642,332.664,309.2836,179.446,234.9976,134.2963,47.1959,83.7776,161.3608,80.5247,80.0063
"1960-08-01",0.4349,0.1938,0.7554,0.2909,0.3434,0.3526,0.2921,0.2647,0.076,0.0197,0.1359,0.9096,2.179,2.5721,0.5536,1.0254,0.8243,0.2972,0.189,0.0415,0.0078,0.0142,0.0022,0.5255,0,0.2159,0.0216,2.9877,3.5118,3.2986,4.8918,6.0041,9.4662,5.5451,12.2663,2.8797,6.1942,3.2125,5.2945,5.119,6.1039,7.564,7.5206,9.9616,9.2427,NA,14.6628,14.1486,25.2806,27.2477,30.5412,39.105,33.5743,63.712,43.2767,48.28,94.2732,54.3663,120.0592,68.2969,99.0488,65.2354,88.7115,84.4199,106.5387,113.695,122.3447,107.6591,122.835,213.907,171.3543,190.8643,242.8178,292.8821,248.0516,238.4436,342.8304,373.3057,334.1797,404.4244,173.5094,305.7016,300.3498,246.5931,176.5067,351.5778,204.6701,295.5965,294.141,356.6984,164.0117,406.8351,307.1986,228.1955,246.4583,166.678,53.5681,106.4354,200.1631,83.3327,100.5494
"1960-09-01",5.0136,0,4.0007,0.7479,0.3369,1.3987,1.2023,1.1537,0,2.1267,0.6182,0.0035,3.6279,3.4153,0.7841,0.4195,0.0072,0,0.0066,1.8547,0.4297,0.5512,0.1522,2.8293,0,1.617,0.2743,2.7016,2.4297,4.1957,4.7095,6.8788,8.3544,6.7109,13.9883,9.2029,20.1353,16.5256,17.7013,13.722,23.3601,27.1968,17.3862,17.8017,16.1961,NA,25.3683,14.9707,34.4999,15.8396,18.0624,46.9641,20.7298,42.9916,20.9532,20.8622,42.4788,25.1085,62.8604,32.9675,57.4682,33.9808,44.047,36.702,46.0575,44.31,62.6067,38.7104,46.2025,100.6127,76.18,92.0883,104.1233,186.6603,122.6454,154.1263,208.7465,295.0755,303.5196,411.4645,201.255,307.329,318.1883,244.7338,178.0574,296.4737,154.9128,234.9177,197.5581,309.9434,96.1417,250.1986,257.6191,107.2537,174.9378,90.1068,31.8052,57.9494,119.1692,60.2116,47.4562
